BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;8639;-1;<p:>;;;;;;;;;;
8640;799;0;D;;the;D @;;;;;;;
9440;799;0;@;;the;D @;;;;;;;
10240;1119;1;g;;green;g r i: n;;;;;;;
11360;959;1;r;;green;g r i: n;;;;;;;
12320;1439;1;i:;;green;g r i: n;;;;;;;
13760;639;1;n;;green;g r i: n;;;;;;;
14400;1599;2;l;;light;l Ae t;;;;;;;
16000;2559;2;Ae;;light;l Ae t;;;;;;;
18560;799;2;t;;light;l Ae t;;;;;;;
19360;799;3;@;;and;{ n d;;;;;;;
20160;1439;3;n;;and;{ n d;;;;;;;
21600;639;4;@;;the;D @;;;;;;;
22240;1279;5;b;;brown;b r {O n;;;;;;;
23520;639;5;r;;brown;b r {O n;;;;;;;
24160;1919;5;{O;;brown;b r {O n;;;;;;;
26080;1439;5;n;;brown;b r {O n;;;;;;;
27520;799;6;b;;box;b O k s;;;;;;;
28320;2239;6;O;;box;b O k s;;;;;;;
30560;639;6;k;;box;b O k s;;;;;;;
31200;1439;6;s;;box;b O k s;;;;;;;
32640;1279;7;f;;flickered;f l I k @ d;;;;;;;
33920;479;7;l;;flickered;f l I k @ d;;;;;;;
34400;479;7;I;;flickered;f l I k @ d;;;;;;;
34880;1279;7;k;;flickered;f l I k @ d;;;;;;;
36160;1759;7;@;;flickered;f l I k @ d;;;;;;;
37920;1439;7;d;;flickered;f l I k @ d;;;;;;;
39360;11098;-1;<p:>;;;;;;;;;;
