BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;7679;-1;<p:>;;;;;;;;;;
7680;479;0;w;;will;w I l;;;;;;;
8160;1439;0;@;;will;w I l;;;;;;;
9600;1439;0;l;;will;w I l;;;;;;;
11040;959;1;j;;you;j }:;;;;;;;
12000;2079;1;}:;;you;j }:;;;;;;;
14080;1919;2;p;;please;p l i: z;;;;;;;
16000;479;2;l;;please;p l i: z;;;;;;;
16480;1759;2;i:;;please;p l i: z;;;;;;;
18240;1119;2;z;;please;p l i: z;;;;;;;
19360;2079;3;6:;;answer;6: n s @;;;;;;;
21440;479;3;n;;answer;6: n s @;;;;;;;
21920;1759;3;s;;answer;6: n s @;;;;;;;
23680;799;3;@;;answer;6: n s @;;;;;;;
24480;959;4;D;;that;D { t;;;;;;;
25440;1599;4;{;;that;D { t;;;;;;;
27040;479;4;t;;that;D { t;;;;;;;
27520;1599;5;f;;phone;f @} n;;;;;;;
29120;2079;5;@};;phone;f @} n;;;;;;;
31200;1919;5;n;;phone;f @} n;;;;;;;
33120;9435;-1;<p:>;;;;;;;;;;
