BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;959;-1;<p:>;;;;;;;;;;
960;959;0;l;;leave;l i: v;;;;;;;
1920;1439;0;i:;;leave;l i: v;;;;;;;
3360;799;0;v;;leave;l i: v;;;;;;;
4160;799;1;D;;the;D @;;;;;;;
4960;639;1;@;;the;D @;;;;;;;
5600;1919;2;k;;carpet;k 6: p @ t;;;;;;;
7520;1599;2;6:;;carpet;k 6: p @ t;;;;;;;
9120;959;2;p;;carpet;k 6: p @ t;;;;;;;
10080;959;2;@;;carpet;k 6: p @ t;;;;;;;
11040;639;2;t;;carpet;k 6: p @ t;;;;;;;
11680;1759;3;O;;on;O n;;;;;;;
13440;959;3;n;;on;O n;;;;;;;
14400;479;4;D;;the;D @;;;;;;;
14880;799;4;@;;the;D @;;;;;;;
15680;1439;5;r;;right;r Ae t;;;;;;;
17120;1919;5;Ae;;right;r Ae t;;;;;;;
19040;639;5;t;;right;r Ae t;;;;;;;
19680;1759;6;h;;hand;h { n d;;;;;;;
21440;639;6;{;;hand;h { n d;;;;;;;
22080;1439;6;n;;hand;h { n d;;;;;;;
23520;1919;7;s;;side;s Ae d;;;;;;;
25440;2719;7;Ae;;side;s Ae d;;;;;;;
28160;1599;7;d;;side;s Ae d;;;;;;;
29760;2879;-1;<p:>;;;;;;;;;;
