BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;799;-1;<p:>;;;;;;;;;;
800;799;0;w;;will;w I l;;;;;;;
1600;479;0;I;;will;w I l;;;;;;;
2080;799;0;l;;will;w I l;;;;;;;
2880;1599;1;j;;you;j }:;;;;;;;
4480;639;1;@;;you;j }:;;;;;;;
5120;1919;2;p;;please;p l i: z;;;;;;;
7040;479;2;l;;please;p l i: z;;;;;;;
7520;1759;2;i:;;please;p l i: z;;;;;;;
9280;1119;2;z;;please;p l i: z;;;;;;;
10400;2399;3;{;;answer;6: n s @;;;;;;;
12800;479;3;n;;answer;6: n s @;;;;;;;
13280;1439;3;s;;answer;6: n s @;;;;;;;
14720;1119;3;@;;answer;6: n s @;;;;;;;
15840;799;4;D;;that;D { t;;;;;;;
16640;1279;4;{;;that;D { t;;;;;;;
17920;1119;4;t;;that;D { t;;;;;;;
19040;1119;5;f;;phone;f @} n;;;;;;;
20160;2719;5;@};;phone;f @} n;;;;;;;
22880;1919;5;n;;phone;f @} n;;;;;;;
24800;3039;-1;<p:>;;;;;;;;;;
